#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
80500	2152.0	2152.0
80600	2163.0	2163.0
80700	2158.0	2158.0
80800	2161.0	2161.0
80900	2155.0	2155.0
81000	2167.0	2167.0
81100	2166.0	2166.0
81200	2153.0	2153.0
81300	2165.0	2165.0
81400	2151.0	2151.0
81500	2188.0	2188.0
81600	2165.0	2165.0
81700	2172.0	2172.0
81800	2199.0	2199.0
81900	2191.0	2191.0
82000	2183.0	2183.0
82100	2204.0	2204.0
82200	2199.0	2199.0
82300	2192.0	2192.0
82400	2206.0	2206.0
82500	2183.0	2183.0
82600	2199.0	2199.0
82700	2179.0	2179.0
82800	2191.0	2191.0
82900	2209.0	2209.0
83000	2224.0	2224.0
83100	2202.0	2202.0
83200	2211.0	2211.0
83300	2250.0	2250.0
83400	2224.0	2224.0
83500	2201.0	2201.0
83600	2225.0	2225.0
83700	2226.0	2226.0
83800	2217.0	2217.0
83900	2216.0	2216.0
84000	2228.0	2228.0
84100	2256.0	2256.0
84200	2239.0	2239.0
84300	2256.0	2256.0
84400	2250.0	2250.0
84500	2252.0	2252.0
84600	2275.0	2275.0
84700	2254.0	2254.0
84800	2261.0	2261.0
84900	2253.0	2253.0
85000	2250.0	2250.0
85100	2252.0	2252.0
85200	2263.0	2263.0
85300	2265.0	2265.0
85400	2257.0	2257.0
85500	2259.0	2259.0
85600	2280.0	2280.0
85700	2252.0	2252.0
85800	2257.0	2257.0
85900	2276.0	2276.0
86000	2282.0	2282.0
86100	2287.0	2287.0
86200	2289.0	2289.0
86300	2267.0	2267.0
86400	2278.0	2278.0
86500	2263.0	2263.0
86600	2275.0	2275.0
86700	2263.0	2263.0
86800	2271.0	2271.0
86900	2277.0	2277.0
87000	2275.0	2275.0
87100	2293.0	2293.0
87200	2295.0	2295.0
87300	2292.0	2292.0
87400	2303.0	2303.0
87500	2301.0	2301.0
87600	2307.0	2307.0
87700	2321.0	2321.0
87800	2309.0	2309.0
87900	2320.0	2320.0
88000	2336.0	2336.0
88100	2308.0	2308.0
88200	2327.0	2327.0
88300	2323.0	2323.0
88400	2328.0	2328.0
88500	2329.0	2329.0
88600	2335.0	2335.0
88700	2353.0	2353.0
88800	2345.0	2345.0
88900	2366.0	2366.0
89000	2337.0	2337.0
89100	2340.0	2340.0
89200	2351.0	2351.0
89300	2357.0	2357.0
89400	2360.0	2360.0
89500	2359.0	2359.0
89600	2376.0	2376.0
89700	2378.0	2378.0
89800	2384.0	2384.0
