#MCS	Total_energy
105800	462258.69510776777
105900	462234.0049332211
106000	463224.48835462076
106100	463583.7314686489
106200	464400.11735680274
106300	464546.7614750622
106400	466006.48096765263
106500	465837.2435208777
106600	467409.4720746942
106700	467697.62557687843
106800	468015.3109030545
106900	469427.1673248633
107000	470069.8621372854
107100	469827.32184978406
107200	469910.12989019224
107300	470630.5029167903
107400	472082.0956051023
107500	473197.4839621298
107600	473676.27662338
107700	474595.90151878167
107800	475249.5655535241
107900	475732.03242125746
108000	476675.80845089245
108100	477349.9433107324
108200	477482.3949884068
108300	480172.686202354
108400	479012.7785302808
108500	480225.1302133676
108600	480721.31759836583
108700	481697.1557503401
108800	481868.8398120366
108900	483331.31760938617
109000	483570.53274697217
109100	484897.72164383944
109200	486246.45219969656
109300	486322.4446630154
109400	487197.1876221864
109500	488919.8253842684
109600	488883.5086841271
109700	490416.63740475534
109800	490966.6302429082
109900	490675.9342290259
110000	491658.78969660436
110100	492198.62057663844
110200	494281.2990189097
110300	493960.940864301
110400	494227.5006732532
110500	496142.3051049751
110600	496702.42161483265
110700	496727.3192908096
110800	498918.7373638048
110900	498978.2237642173
111000	499676.24685596244
111100	500997.26950687304
111200	501611.7795347424
111300	501016.15253427875
111400	503638.2810004412
111500	503774.93947482517
111600	503374.6192198777
111700	505453.58695702255
111800	505652.33985771163
111900	507354.34753330785
112000	507223.46807973564
112100	507937.97166615917
112200	509345.9032009592
112300	509689.5205251759
112400	511132.39863745635
112500	511129.45423865534
112600	511840.3968300007
112700	512093.77574977174
112800	513583.2679590876
112900	514313.0481814845
113000	516659.9138504705
113100	515594.54595192586
113200	515301.90025814646
113300	517697.63243394374
113400	518042.7772565497
113500	518361.36843239324
113600	519440.6712134227
113700	520699.62589782727
113800	521237.0935229759
113900	521335.5693311757
114000	522786.6193741745
114100	523963.97601937177
114200	523826.3876036541
114300	524700.1389681178
114400	525193.428434528
114500	526503.7124359972
114600	527042.1698223253
114700	528040.6732905359
114800	527941.1009775816
114900	529336.9035387709
115000	530094.0083160093
115100	531411.6175694722
115200	531340.2587378811
115300	532972.3424434596
115400	533057.9750244879
115500	534135.8791531038
115600	534593.0610542393
115700	536025.4036124604
115800	537717.2149921278
115900	537379.1525463313
116000	538876.4787064029
116100	539031.245930984
116200	539462.7199364741
116300	539488.0352167469
116400	542132.1388700481
116500	541483.9490996596
116600	542607.1844042205
116700	543161.8975731183
116800	543333.2419362946
116900	544597.9945337769
117000	545327.3377275447
117100	546149.9198974347
117200	546186.5289356213
117300	547332.6764560075
117400	547958.2939630233
117500	549675.8172347234
117600	550316.668250714
117700	550874.8489262225
117800	551532.6359084216
117900	552243.9203951715
118000	552967.8254034295
118100	552703.785526561
118200	555853.1791405593
118300	555059.8711903616
118400	555354.2792601719
118500	557156.9993235066
118600	556995.0551007172
118700	558523.812024231
118800	558865.0264336318
118900	559727.7218389767
119000	559473.9936417702
119100	561523.7010352213
119200	561889.2391342084
119300	562204.5359481103
119400	562505.6524986936
119500	565173.0494864372
119600	565006.1055943246
119700	565736.4130879409
119800	566139.061415343
119900	566356.6522832537
120000	567292.2026607713
120100	568066.6742918032
120200	568100.9622236334
120300	570066.3125507816
120400	570766.2415364147
120500	570514.1005619112
120600	572217.4414128403
120700	572419.5975108569
120800	573041.3533849427
120900	574202.0000100639
121000	575586.4867549103
121100	575097.9864829705
121200	575900.9025032987
121300	576607.3359406316
121400	578195.572452657
121500	577579.647916791
121600	578786.7478192551
121700	579600.807597492
121800	580592.2783113741
121900	581929.2953820853
122000	581421.9216661954
122100	584068.5833217487
122200	584162.3839766956
122300	584516.771571954
122400	586540.6066337007
122500	586676.795374951
122600	586956.6578875965
122700	587244.3346168774
122800	588132.4639813509
122900	589192.7837324283
123000	590626.471697288
123100	589484.0603393895
123200	590715.105585862
123300	591509.9715352615
123400	593156.3607025489
123500	593081.0706871257
123600	594670.2792223907
123700	595031.1705524413
123800	596514.8392815848
123900	596981.1532687905
124000	598772.4457073675
124100	598249.1200945133
124200	598072.7026039107
124300	599668.4030752647
124400	601355.0106813674
124500	600876.7646045147
124600	602346.1348252731
124700	602890.4978103027
124800	604267.2195976097
124900	604080.2573893927
125000	605967.5309688076
125100	605557.8509433501
125200	607087.4581965592
125300	607606.0481957634
125400	609053.2621422111
125500	609283.999056866
125600	610042.2715299991
125700	611711.4518027323
125800	610766.8394522513
125900	611734.622578103
126000	612566.0071781663
126100	612915.3517670395
126200	615298.1049974742
126300	615357.8142172853
126400	616065.0876021968
126500	616303.9388420234
126600	616404.4050519797
126700	617707.5235478461
126800	618551.9396571483
126900	618953.2932145351
127000	621084.4377999858
127100	621517.2302462436
127200	621859.827228357
127300	621025.0855189787
