#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
36300	100	33.599728568225785	27.69159384024406	30.024775362999208	31.192799466641738	33.390580017551294	34.82477555373407	35.52040463764388	36.36071864126207	36.574958213833725	37.21082836473143	38.144221249044676	39.63394370383412	40.81864995016917	41.134692818994154
36400	100	34.10349141613246	27.624775267631776	30.024775362999208	32.362408177612814	34.197873239573525	34.82477555373407	36.27901606774285	37.19113470309166	37.45081230134929	37.92589132929133	38.64179066335383	39.65901450395122	42.03152132574178	42.6993244303776
36500	100	34.42792496568406	29.31227522446643	31.705775832447035	33.808395558240775	34.6341101054586	34.82477555373407	35.67355130106735	36.481395212772256	37.2247756491015	37.408644028540586	38.23159963418111	38.953373220407315	41.789891730470316	42.10684550320184
36600	100	33.844627793330986	27.624775267631776	30.024775362999208	31.611523439313988	33.00044864971242	34.82477555373407	35.88512325591182	36.31582026598662	36.52462366621694	37.2247756491015	38.714077953919336	39.90931626454149	42.03075516670446	42.62270852664551
36700	100	33.85389475132219	27.624775267631776	30.024775362999208	32.42477545836664	33.73686220442287	34.82477555373407	36.12770961423157	36.52414026779225	36.78643815818259	37.2247756491015	37.98961409066478	39.63949523261772	41.449139511713966	41.51074108784087
36800	100	34.67567549572166	28.385963679791438	31.873075632702605	32.66317181843724	34.73495224587678	35.323474711220115	36.554965157112385	37.2247756491015	37.376455461278056	38.08875539968394	38.98095645637095	39.62650389995406	41.53195141174176	42.024775839836366
36900	100	34.10197161471499	27.945924857830324	30.024775362999208	32.42477545836664	33.665214867453685	34.82477555373407	36.11452876741278	36.991186916796686	37.2247756491015	37.81226523366858	38.521892747828865	40.046479194257515	42.09435000377943	44.4247759352038
37000	100	34.199149385758844	26.85321164520019	30.024775362999208	32.42477545836664	33.774328328918635	34.92584860786201	36.458079478526635	37.2247756491015	37.48534713624986	37.979457917227776	39.627149902147536	39.92608964056198	41.803030691914245	42.08157694918373
37100	100	34.56346562436572	29.729292883096967	31.480093312790814	32.38050677942829	34.05669618032516	34.82477555373407	36.08639278183	37.030858546605124	37.3006909979531	38.10552877570444	39.63066690034539	40.93204931545124	44.4247759352038	44.4247759352038
37200	100	34.1632717272295	28.2384262233727	30.024775362999208	32.41053653327144	33.99136598186051	34.82477555373407	36.008672752150595	36.904809660784125	37.423799667787534	37.909659029916654	39.128575623602956	39.8641363646153	42.025018655625956	42.0490574187952
37300	100	34.33499248493327	28.509563301150955	30.036805632262258	32.42477545836664	34.41374084860108	35.3766348050267	36.17406917110893	36.74270227372108	37.2247756491015	37.35812889316003	38.52188725466495	39.988042916508675	41.45411741685554	42.008531601997674
37400	100	34.99005651889021	29.129958487352816	32.42477545836664	33.99260057045085	34.840061645102836	36.14099826439224	36.61069605163211	37.2247756491015	37.80996565792384	38.005256561563876	39.68188554546869	41.03764577871834	41.914847551869585	44.4247759352038
37500	100	34.35244940636616	28.676877520961806	30.024775362999208	32.42477545836664	34.2256192105182	34.82477555373407	36.06204433276798	36.885562987709996	37.25152902987065	37.90605551438712	39.624775744468934	40.109108816011485	42.489450000512576	43.49200171650773
37600	100	34.44738205918578	28.92147437727517	30.50049601818464	32.42477545836664	33.7401223972076	35.054344011562534	36.5793136061744	37.2247756491015	37.82281622826213	38.04458212204554	39.46596464051745	39.88266823973472	41.08817862955253	41.65775188716907
37700	100	34.165779616274904	27.844071299127155	30.024775362999208	32.02804739983749	34.28167420170903	34.82477555373407	36.13938533413712	36.74958520810905	37.2247756491015	37.56932181969423	38.505807653013484	39.989530877284686	42.08706942645522	42.89865761601504
37800	100	34.18331431556829	27.997788564952497	30.024775362999208	32.42477545836664	33.3355810871235	34.86175254899172	36.03568263913039	36.81332925549268	37.2247756491015	38.036768096373635	39.23304762398257	40.124664769578885	41.97119743282055	42.024775839836366
37900	100	35.14078162127922	29.357301315802943	32.422868901005856	34.52335693456443	34.82477555373407	36.14455852125593	36.6182930973293	37.23469007038184	37.67734694805813	38.37390279203246	39.636348205126524	40.33243820157477	42.024992151110055	42.04640696720526
38000	100	34.29758281523705	28.47864200665026	30.024775362999208	32.42477545836664	33.84095766064966	34.82522987539869	36.266398270225544	36.99035681534406	37.3732762926611	38.09037862962141	39.63273370326915	40.37455291603528	42.02553322775588	42.10051463178752
38100	101	34.518673852731744	28.81729583694414	30.024775362999208	32.42477545836664	34.74089721200471	35.08746778998193	36.46785181713494	37.49232688765187	37.99731344653992	38.26428121290519	39.45015917221281	40.03268173978904	42.01388743681673	43.24310645942933
38200	101	34.28603373851736	27.624775267631776	29.490208416774294	32.42477545836664	34.15244202739814	34.82477555373407	36.6247640444235	37.855967472501106	38.03248342851839	38.40496114081907	39.624775744468934	39.9001179615625	41.87867320700025	42.10051463178752
38300	101	34.114540229783124	27.941170524460176	30.024775362999208	31.62132255709639	32.93683918484476	34.82477555373407	36.13600978491013	36.94129388222973	37.2247756491015	38.010840362685485	39.244495115161044	40.300514679471235	42.08969309887107	43.15025825632256
