#MCS	Mean_volume
92700	47.5219512195122
92800	47.27317073170732
92900	47.4780487804878
93000	47.47317073170732
93100	47.448780487804875
93200	47.35609756097561
93300	47.53170731707317
93400	47.65365853658537
93500	47.66341463414634
93600	47.858536585365854
93700	47.951219512195124
93800	47.616504854368934
93900	47.66504854368932
94000	47.60386473429951
94100	47.47826086956522
94200	47.72463768115942
94300	47.729468599033815
94400	47.82608695652174
94500	47.82608695652174
94600	47.99516908212561
94700	47.990338164251206
94800	48.106280193236714
94900	47.75961538461539
95000	47.483253588516746
95100	47.74162679425837
95200	47.68421052631579
95300	47.47867298578199
95400	47.216981132075475
95500	46.92018779342723
95600	46.88732394366197
95700	46.91079812206573
95800	46.7803738317757
95900	46.901869158878505
96000	46.66046511627907
96100	46.625
96200	46.60648148148148
96300	46.30414746543779
96400	46.41935483870968
96500	46.58986175115207
96600	46.43119266055046
96700	46.522935779816514
96800	46.337899543378995
96900	46.36073059360731
97000	45.90497737556561
97100	45.78733031674208
97200	46.036199095022624
97300	46.199095022624434
97400	46.126696832579185
97500	46.49321266968326
97600	45.9009009009009
97700	46.211711711711715
97800	46.07657657657658
97900	45.892857142857146
98000	46.066964285714285
98100	46.08482142857143
98200	46.035714285714285
98300	46.05357142857143
98400	46.214285714285715
98500	46.22767857142857
98600	46.14732142857143
98700	46.0
98800	45.81858407079646
98900	46.01327433628319
99000	45.74008810572687
99100	45.63157894736842
99200	45.79385964912281
99300	46.074561403508774
99400	45.7292576419214
99500	45.698689956331876
99600	45.70742358078603
99700	45.7117903930131
99800	45.77391304347826
99900	45.83913043478261
100000	45.97391304347826
100100	45.86521739130435
100200	45.705627705627705
100300	45.878787878787875
100400	45.98701298701299
100500	45.793103448275865
100600	45.97844827586207
100700	46.116379310344826
100800	46.14655172413793
100900	45.94849785407725
101000	46.06008583690987
101100	45.77350427350427
101200	45.995726495726494
101300	46.085470085470085
101400	46.17948717948718
101500	46.15811965811966
101600	46.48290598290598
101700	46.35897435897436
101800	46.42307692307692
101900	46.401709401709404
102000	46.238297872340425
102100	46.16949152542373
102200	46.110169491525426
102300	46.266949152542374
102400	46.36440677966102
102500	46.3728813559322
102600	46.567796610169495
102700	46.57203389830509
102800	46.57203389830509
102900	46.53586497890296
103000	46.42016806722689
103100	46.15481171548117
103200	45.79253112033195
103300	45.6597510373444
103400	46.06224066390042
103500	46.19502074688797
103600	46.261410788381745
103700	46.04545454545455
103800	45.66255144032922
103900	45.90946502057613
104000	45.86008230452675
104100	45.983539094650205
104200	45.704918032786885
104300	46.05327868852459
104400	45.861224489795916
104500	45.94285714285714
104600	45.910204081632656
104700	45.51417004048583
104800	45.77327935222672
104900	45.931174089068826
105000	45.87044534412956
105100	46.036437246963565
105200	46.02834008097166
105300	46.29959514170041
105400	46.278225806451616
105500	46.060483870967744
105600	46.19758064516129
105700	46.16129032258065
105800	46.278225806451616
105900	46.41935483870968
106000	46.46370967741935
106100	46.46586345381526
106200	46.01195219123506
106300	46.1195219123506
106400	46.0796812749004
106500	46.2390438247012
106600	46.067460317460316
106700	46.1031746031746
106800	46.29761904761905
106900	46.11507936507937
107000	46.48809523809524
107100	46.42857142857143
107200	46.714285714285715
107300	46.71825396825397
107400	46.84920634920635
107500	46.817460317460316
107600	46.785714285714285
107700	46.948412698412696
107800	47.12301587301587
107900	47.15079365079365
108000	47.126482213438734
108100	46.9604743083004
108200	47.28853754940712
108300	47.11067193675889
108400	47.24505928853755
108500	47.16535433070866
108600	47.25590551181102
108700	47.35826771653543
108800	47.346456692913385
108900	47.286274509803924
109000	47.411764705882355
109100	47.22352941176471
109200	47.54117647058823
109300	47.56470588235294
109400	47.47843137254902
109500	47.06225680933852
109600	47.29182879377432
109700	47.13953488372093
109800	47.10077519379845
109900	47.151162790697676
110000	47.24710424710425
110100	46.77777777777778
110200	46.234848484848484
110300	46.496212121212125
110400	46.41287878787879
110500	46.40151515151515
110600	46.45075757575758
110700	46.666666666666664
110800	46.62641509433962
110900	46.47924528301887
111000	46.60377358490566
111100	46.92075471698113
111200	46.92075471698113
111300	46.76315789473684
111400	46.70676691729323
111500	46.72659176029963
111600	46.86516853932584
111700	46.87265917602996
111800	46.842696629213485
111900	46.79477611940298
112000	47.01119402985075
112100	47.01119402985075
112200	46.985074626865675
112300	47.07835820895522
112400	47.458955223880594
112500	47.204460966542754
112600	47.20817843866171
112700	47.479553903345725
112800	47.24444444444445
112900	46.904411764705884
113000	47.099264705882355
113100	46.556363636363635
113200	46.405797101449274
113300	46.39350180505415
113400	46.18345323741007
113500	46.2589928057554
113600	46.17625899280576
113700	46.2589928057554
113800	46.356115107913666
113900	46.47122302158273
114000	46.54676258992806
114100	46.41935483870968
114200	46.48028673835125
114300	46.57142857142857
114400	46.53928571428571
114500	46.63214285714286
114600	46.625
114700	46.73571428571429
114800	46.80357142857143
114900	47.07857142857143
