#MCS	Total_cells	Percent_div_0	Percent_div_1	Percent_div_2	Percent_div_3	Percent_div_4	Percent_div_5	Percent_div_6	Percent_div_7	Percent_div_8	Percent_div_9	Percent_div_10
95300	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95400	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95500	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95600	197	17.258883248730964	51.26903553299492	31.472081218274113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95700	199	17.08542713567839	49.74874371859296	33.165829145728644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95800	201	16.91542288557214	48.258706467661696	34.82587064676617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95900	201	16.91542288557214	48.258706467661696	34.82587064676617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96000	201	16.91542288557214	48.258706467661696	34.82587064676617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96100	202	16.831683168316832	47.524752475247524	35.64356435643564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96200	202	16.831683168316832	47.524752475247524	35.64356435643564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96300	202	16.831683168316832	47.524752475247524	35.64356435643564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96400	202	16.831683168316832	47.524752475247524	35.64356435643564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96500	202	16.831683168316832	47.524752475247524	35.64356435643564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96600	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96700	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96800	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96900	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97000	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97100	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97200	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97300	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97400	203	16.748768472906402	46.79802955665024	36.45320197044335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97500	204	16.666666666666664	46.07843137254902	37.254901960784316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
