#MCS	Mean_pressure	{Cells_over_pressure_threshold}
38400	33.169548835987946	32
38500	33.69479291270027	34
38600	33.45028394410843	39
38700	33.370463053419854	41
38800	33.63378108018737	38
38900	33.45128164204183	40
39000	34.124435157033815	41
39100	33.47922049919813	41
39200	33.00556410799739	36
39300	33.942740012292695	45
39400	33.44160596884729	37
39500	34.01945547992941	44
39600	34.19378747490784	44
39700	33.645763363415874	37
39800	33.90928631596198	46
39900	33.60849612204555	35
40000	33.263349746578754	37
40100	33.54675719604617	34
40200	33.868946344497054	40
40300	33.118915237068606	37
40400	33.14582015051863	36
40500	33.06592178800016	33
40600	33.111784469975454	37
40700	32.58338861685251	32
40800	33.53146247812406	44
40900	33.19984582486832	40
41000	32.61522897492481	30
41100	33.46067761966074	40
41200	33.10447779660441	40
41300	33.55347749085719	39
41400	33.52603313499891	43
41500	33.05153422046758	30
41600	33.549649250912175	40
41700	33.47468729844814	39
41800	32.847681169096425	40
41900	33.05262187600575	34
42000	33.85102336076461	39
42100	33.86054605499409	42
42200	33.548676463145135	40
42300	32.7579451095197	34
42400	33.245285656059174	33
42500	33.11766237550199	38
42600	33.74574823842319	44
42700	33.721641309474684	37
42800	33.739377297693764	41
42900	32.60781411026946	32
43000	33.43821686050297	39
43100	33.17165357679454	37
43200	33.1247235510297	39
43300	33.6773342672155	43
43400	33.495244503323605	45
43500	33.3495860075425	39
43600	33.32952913897485	38
43700	33.504379142065865	40
43800	33.392263148297275	33
43900	33.58722456159442	40
44000	32.843479856986065	31
44100	33.29603286705248	38
44200	33.54803681150822	40
44300	33.45141775700111	45
44400	33.72691967762018	40
44500	33.31523909193167	36
44600	33.52790160027593	39
44700	33.11062941234903	38
44800	32.87386842726499	37
44900	33.16907173540129	36
45000	33.19772340026276	35
45100	32.911329231133145	35
45200	33.3827790026808	41
45300	33.656435992178764	40
45400	32.960275090451354	35
45500	33.22652259007941	34
45600	34.183422282456725	42
45700	33.1147594040621	35
45800	33.09943785496569	43
45900	33.23870308638211	37
46000	32.847873998294155	38
46100	33.47603583047317	38
46200	32.86714813718786	34
46300	33.15376489912163	37
46400	33.32086873511902	39
46500	32.98933321524333	38
46600	32.96076931961461	37
46700	33.01654599639993	40
46800	32.89462790099665	37
46900	32.88015891961132	36
47000	33.39766011348874	37
47100	32.23790522069769	32
47200	33.3302361395566	37
47300	33.02237584199471	36
47400	32.97755649418519	36
47500	33.451125946108625	37
47600	32.85566747725614	35
47700	33.04978574934562	36
47800	32.991165679200996	38
47900	33.45713887511538	37
48000	33.36949394672079	39
48100	33.4924631707586	42
48200	33.734155746907355	39
48300	33.682375716885815	46
48400	32.96297817504473	33
48500	33.13233140249823	41
48600	33.26611205852389	41
48700	33.12901565139863	41
48800	33.667593808617795	37
48900	33.61515562477046	37
49000	33.10518176632164	40
49100	33.59170295194651	38
49200	33.63753837269829	41
49300	33.75476481444437	40
49400	33.895775454264104	44
