#MCS	Adhesion_energy
112300	326149.5
112400	327666.0
112500	329292.0
112600	329616.0
112700	329919.0
112800	331044.0
112900	330717.0
113000	330474.0
113100	330633.0
113200	331629.0
113300	333015.0
113400	330885.0
113500	332800.5
113600	330975.0
113700	332514.0
113800	334339.5
113900	332866.5
114000	333439.5
114100	334540.5
114200	334362.0
114300	333630.0
114400	335013.0
114500	334315.5
114600	335194.5
114700	335773.5
114800	337075.5
114900	336309.0
115000	336513.0
115100	336046.5
115200	337869.0
115300	336859.5
115400	337266.0
115500	338827.5
115600	338602.5
115700	338425.5
115800	337948.5
115900	339397.5
116000	340254.0
116100	340801.5
116200	339762.0
116300	339729.0
116400	340060.5
116500	340401.0
116600	342786.0
116700	343597.5
116800	342234.0
116900	343740.0
117000	341946.0
117100	343252.5
117200	344745.0
117300	343128.0
117400	343899.0
117500	343872.0
117600	344328.0
117700	344404.5
117800	345411.0
117900	345885.0
118000	346002.0
118100	345987.0
118200	346251.0
118300	347589.0
118400	347014.5
118500	349098.0
118600	347806.5
118700	348690.0
118800	347310.0
118900	348369.0
119000	348735.0
119100	349383.0
119200	351004.5
119300	349437.0
119400	350200.5
119500	351159.0
119600	351633.0
119700	351169.5
119800	350910.0
119900	351399.0
120000	352125.0
120100	352660.5
120200	350136.0
120300	351483.0
120400	352033.5
120500	353334.0
120600	353347.5
120700	352695.0
120800	353716.5
120900	353106.0
121000	353910.0
121100	354634.5
121200	354136.5
121300	355128.0
121400	355366.5
121500	355560.0
121600	356257.5
121700	355654.5
121800	355269.0
121900	356646.0
122000	356025.0
122100	356512.5
122200	357843.0
122300	356055.0
122400	358416.0
122500	357274.5
122600	356958.0
122700	359746.5
122800	358938.0
122900	358987.5
123000	357532.5
123100	358995.0
123200	360447.0
123300	360535.5
123400	358608.0
123500	359215.5
123600	358398.0
123700	361167.0
123800	360601.5
123900	361329.0
124000	361458.0
124100	361692.0
124200	363229.5
124300	360912.0
124400	363531.0
124500	362649.0
124600	364144.5
124700	362557.5
124800	363696.0
124900	362175.0
125000	363076.5
125100	364489.5
125200	364036.5
125300	365116.5
125400	365074.5
125500	365218.5
125600	365466.0
125700	364978.5
125800	366295.5
125900	367678.5
126000	368304.0
126100	368479.5
126200	367842.0
126300	369598.5
126400	368413.5
126500	370332.0
126600	369688.5
126700	370938.0
126800	370113.0
126900	369556.5
127000	371181.0
127100	370932.0
127200	372187.5
127300	371875.5
127400	371272.5
127500	372112.5
127600	372579.0
127700	374317.5
127800	373137.0
127900	374986.5
128000	373668.0
128100	374995.5
128200	374851.5
128300	375775.5
128400	375024.0
128500	375967.5
128600	377161.5
128700	377341.5
128800	377092.5
128900	378082.5
129000	378189.0
129100	378634.5
129200	378234.0
129300	379477.5
129400	380188.5
129500	380347.5
129600	380352.0
129700	382887.0
129800	382680.0
129900	382359.0
130000	382462.5
130100	380538.0
130200	383430.0
130300	382627.5
130400	382857.0
130500	382368.0
130600	383326.5
130700	382654.5
130800	383929.5
130900	385560.0
131000	383422.5
131100	385494.0
131200	384483.0
131300	385698.0
131400	383322.0
