#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
157400	254	35.99771631065458	29.417978804429914	32.58536870465359	34.51540283321265	36.0338094702347	36.931770109288664	37.82048575347035	38.299124351630596	38.68624546564297	39.23728259093805	40.52632216860657	41.71193576940068	43.39046099348963	45.71404145256565
157500	254	35.994346988019615	30.1813665405547	32.451395929882345	33.91663148676998	36.13471339822572	36.875307250677	37.80573111518934	38.29565267203507	38.971776692820185	39.622902697910106	40.30574554481118	41.39252545376549	43.56748877505488	43.91404150024937
157600	254	35.982774785153076	29.32725302253157	32.367041446635994	35.11894361922623	36.03391933351304	36.587527259521266	37.846221226421406	38.7193870968451	39.30591212098034	39.6420848263082	40.65010649760279	41.592856335299345	42.70106782327575	43.70752600279047
157700	254	36.283747769533875	30.101425689112602	32.96736332344044	34.633149488418624	36.124067646554614	37.10419022496035	38.05780691417567	38.841817360935785	39.28343821410499	39.65844072187101	41.0499621388657	41.96826190396778	43.34580363078105	45.37684358552178
157800	255	35.9428731742862	29.947339904908585	32.466585901403775	34.28631043205496	35.7445257254567	36.329987135728516	37.54719260885467	38.507979936918126	39.49808016093357	39.7835310505885	41.329984409279675	41.974447893183786	43.76040210002255	45.23524355265181
157900	255	36.431365916113485	30.584507093839967	32.685401966163774	34.593804015217756	36.4198964961397	37.34469810738301	37.99111166447765	38.90380359586597	39.62195787371638	39.811016096247116	40.96083967418563	41.94507319913773	44.343367416610505	46.98016080379057
158000	255	35.70480724943466	29.366160415910052	31.70018104499759	33.667472557823565	35.80472805540485	36.53413370624821	37.80384695996581	38.19690481088146	38.62916462609064	39.09339190871469	40.38342025588827	41.87170375528058	44.43556577842588	46.40840483749162
158100	255	36.033555418646884	29.327584672303058	32.16747625966927	34.36353607698184	36.00426174152526	37.18252617564394	37.911551424886056	38.69519794953667	39.33451433885057	39.82804215780779	41.065294932648975	41.771908073109806	44.00254213877405	45.00166048999199
158200	255	36.073632359655065	29.76034848530162	32.14371832572833	34.83974487966443	36.17148189090403	36.93884942428667	37.86794943629502	38.325604148292406	38.9856640978478	39.65484269950539	40.50181991095487	41.307774174272346	42.88120391164343	45.226481956204225
158300	255	36.05749415190522	30.064791989199513	32.19492285318047	34.235600289355354	36.01099636048748	37.0685292914568	37.86501883334531	38.66607044786688	39.12061740237823	39.627371386756565	40.8587382364607	41.70749385972831	43.20467353808417	43.83017462014686
158400	255	36.33939469779789	29.99096111957333	32.72103062732931	34.612304991290145	36.311079665526265	37.29509483721267	38.036564849308704	38.80360553943829	39.32707110174306	39.794706892577594	41.48415692106464	42.53467096183904	44.91737063626788	47.06423367753996
158500	255	36.15172258362888	30.618008527278654	33.02444004311983	34.8362585376035	36.177084918099354	37.28585258892235	37.88885916474501	38.43192433590557	38.998943821617104	39.613825244537296	40.109256444791754	41.054142436606526	42.7717976645417	43.58766516612195
158600	255	36.2025854924836	30.636943463300486	32.62276067143648	34.87495513081667	36.04405971410379	37.10725609707151	37.91183706940974	38.548140458315174	39.28673067922773	39.67158311654239	40.68312727919874	41.84669200667558	43.27021975521986	45.22878908504936
158700	255	35.99472792048527	29.156302328207676	32.322225553665525	34.35732742846467	36.00386074055932	36.97283837602299	37.99788198900533	38.567602738073035	39.07496921022812	39.67649125850221	40.890466751245185	41.773613700506026	43.436345254359075	44.70141788319961
158800	255	36.105807345972366	29.69721143253082	32.030125189089084	34.181102610134985	36.08306392449631	37.426491318106855	38.1185997592449	39.06771960714868	39.62449159557309	39.84917435939642	40.850751176125414	41.86237636294955	42.86031533187452	44.85011783043228
158900	256	35.98853813565624	29.923890274792484	32.58532475934226	34.54437927287472	36.09926051830553	36.71897867205462	37.83485312369521	38.318450675581516	39.02523547741475	39.793674177761204	40.74448592015142	41.41768002463232	43.40792334959442	43.82381628291296
159000	256	36.29766330651958	30.261276969346	32.49265508406279	34.41020187774757	36.269946854115915	37.225771108580375	38.03241476396943	38.55432026772178	39.49100084593556	39.8153309765039	41.40365185727933	41.67214397663156	43.16543174835223	43.9685611521254
159100	256	36.093985406067574	29.376877578712083	32.12195578358023	34.38159622664989	36.11378993686594	36.98850762609618	37.85591940731683	38.34093144891176	39.40998354461499	39.93970994049414	41.42897534293661	42.13728449775681	44.0379906241631	45.60225556685509
159200	256	36.55494951329055	30.882244817886203	33.00537327116399	35.13250143441883	36.287813369755895	37.29360481650019	38.09930776756846	38.77063419631759	39.39957056576486	39.83300523140679	41.5223316637057	42.523052233509134	45.3217313585882	46.851277445388405
159300	256	36.07631800992065	30.054654891658174	32.68509434898442	34.61927169642786	36.08845271829887	36.85369165066368	37.886118075950435	38.263450371862746	38.79604351266107	39.389500909659546	40.47911803777697	41.846126210792136	43.302550732756934	45.383119525296934
159400	256	35.98086744139401	29.938512390493997	32.50056524010324	34.570190276829635	36.21401271253126	37.037932368439215	37.799422216430685	38.26743978215745	38.664674497586475	39.651373766491815	40.751427906051504	41.64722217858571	43.824491942074744	45.226481956204225
159500	256	35.886314458940916	29.790361759653024	32.15673437762962	33.818086872681306	35.60675717441882	36.619840796262906	37.857443760303795	38.45797703907283	39.111254991127225	39.63643236063763	40.123607335524866	41.511640593432276	43.040541233472226	43.98479345150008
159600	256	36.21294338624615	29.869992037084558	32.29296484277074	34.71704658092267	36.126376148690724	37.0370465957576	37.92099966682326	38.785246012336756	39.31337252422509	39.72268876704402	41.25237698946057	41.8585682270641	43.94933164518852	45.62381623522924
