#MCS	Mean_pressure	{Cells_over_pressure_threshold}
101000	35.37245599232407	91
101100	35.49726796456659	98
101200	35.48931639754608	93
101300	35.24302248563429	89
101400	35.07330919796011	88
101500	35.28090321597865	84
101600	34.89073464411837	90
101700	35.36917282919664	91
101800	35.601484989110915	92
101900	35.776991797824955	94
102000	35.56767151899769	97
102100	35.32502237811625	90
102200	35.53155880298081	93
102300	35.62903923632521	98
102400	35.31540253991693	88
102500	35.42698741330101	92
102600	35.12505931052559	91
102700	35.36478290423328	92
102800	35.274532702928454	91
102900	35.55285828888324	92
103000	35.382459912918556	91
103100	35.9121424361418	100
103200	35.335798631994464	86
103300	35.55391816955227	91
103400	35.52541192233887	96
103500	35.48754157694337	92
103600	35.65968366630206	95
103700	35.72370768231532	96
103800	35.248172364963764	94
103900	35.38079350057089	95
104000	35.75128651021545	93
104100	35.245257292752854	93
104200	35.527154679195114	92
104300	35.41586593304234	92
104400	35.39546977502544	90
104500	36.14168314703173	96
104600	35.56146576116802	95
104700	35.42957872221079	90
104800	35.8053896248054	100
104900	35.49290647319313	93
105000	35.18743023459305	95
105100	35.663779114351556	96
105200	35.54991096020509	101
105300	35.10857574189657	95
105400	35.359681524354315	95
105500	35.19237907269722	88
105600	35.60000723217398	95
105700	35.308492789748435	88
105800	35.52209616788343	99
105900	35.08490517349646	87
106000	35.50927337489833	97
106100	35.2688066596029	93
106200	35.202982119581556	96
106300	35.34485066842395	91
106400	35.92802281703199	93
106500	35.30148328744844	95
106600	35.69660173548615	101
106700	35.76766150306584	99
106800	35.574284843073215	98
